"name","assetPath","previewPath","weaponClass","weaponModelType","promptCategory","colorNotes","prompt"
"Hammer","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Hammer.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Hammer.png","StraightSword","Weapon","blunt","Color map: striking head and large masses are charcoal; neck or upper shaft is charcoal; shaft core is charcoal; lower shaft or wraps are charcoal; pommel/end cap is charcoal.","Create a single game inventory icon PNG of 'Hammer'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Color map: striking head and large masses are charcoal; neck or upper shaft is charcoal; shaft core is charcoal; lower shaft or wraps are charcoal; pommel/end cap is charcoal. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
"Hand Axe","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Hand Axe.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Hand Axe.png","StraightSword","Weapon","axe","Color map: pommel/end cap is charcoal; lower handle and wraps are charcoal; upper handle is charcoal; head socket is charcoal; axe head and blade mass are charcoal.","Create a single game inventory icon PNG of 'Hand Axe'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Color map: pommel/end cap is charcoal; lower handle and wraps are charcoal; upper handle is charcoal; head socket is charcoal; axe head and blade mass are charcoal. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
"Heater Shield 01","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Heater Shield 01.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Heater Shield 01.png","MediumShield","Shield","shield","Color map: outer edge and one side of the face read as charcoal and charcoal; major face zones read as charcoal and charcoal; center mass or emblem area reads as charcoal.","Create a single game inventory icon PNG of 'Heater Shield 01'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Color map: outer edge and one side of the face read as charcoal and charcoal; major face zones read as charcoal and charcoal; center mass or emblem area reads as charcoal. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
"Heater Shield 02","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Heater Shield 02.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Heater Shield 02.png","MediumShield","Shield","shield","Color map: outer edge and one side of the face read as charcoal and charcoal; major face zones read as charcoal and charcoal; center mass or emblem area reads as charcoal.","Create a single game inventory icon PNG of 'Heater Shield 02'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Color map: outer edge and one side of the face read as charcoal and charcoal; major face zones read as charcoal and charcoal; center mass or emblem area reads as charcoal. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
"Metal Glaive","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Metal Glaive.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Metal Glaive.png","Spear","Weapon","polearm","Color map: end cap or tail is charcoal; lower shaft or wraps are charcoal; middle shaft is charcoal; socket or head base is charcoal; head or tip mass is charcoal.","Create a single game inventory icon PNG of 'Metal Glaive'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Color map: end cap or tail is charcoal; lower shaft or wraps are charcoal; middle shaft is charcoal; socket or head base is charcoal; head or tip mass is charcoal. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
"Metal Great Hammer 02","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Metal Great Hammer 02.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Metal Great Hammer 02.png","StraightSword","Weapon","blunt","Color map: striking head and large masses are charcoal; neck or upper shaft is charcoal; shaft core is charcoal; lower shaft or wraps are charcoal; pommel/end cap is charcoal.","Create a single game inventory icon PNG of 'Metal Great Hammer 02'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Color map: striking head and large masses are charcoal; neck or upper shaft is charcoal; shaft core is charcoal; lower shaft or wraps are charcoal; pommel/end cap is charcoal. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
"Metal Great Hammer","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Metal Great Hammer.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Metal Great Hammer.png","StraightSword","Weapon","blunt","Color map: striking head and large masses are charcoal; neck or upper shaft is charcoal; shaft core is charcoal; lower shaft or wraps are charcoal; pommel/end cap is charcoal.","Create a single game inventory icon PNG of 'Metal Great Hammer'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Color map: striking head and large masses are charcoal; neck or upper shaft is charcoal; shaft core is charcoal; lower shaft or wraps are charcoal; pommel/end cap is charcoal. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
"Ornate Axe 01","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Ornate Axe 01.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Ornate Axe 01.png","StraightSword","Weapon","axe","Color map: axe head and blade mass are charcoal; head socket is charcoal; upper handle is charcoal; lower handle and wraps are charcoal; pommel/end cap is charcoal.","Create a single game inventory icon PNG of 'Ornate Axe 01'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Color map: axe head and blade mass are charcoal; head socket is charcoal; upper handle is charcoal; lower handle and wraps are charcoal; pommel/end cap is charcoal. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
"Ornate Axe 02","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Ornate Axe 02.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Ornate Axe 02.png","StraightSword","Weapon","axe","Color map: axe head and blade mass are charcoal; head socket is charcoal; upper handle is charcoal; lower handle and wraps are charcoal; pommel/end cap is charcoal.","Create a single game inventory icon PNG of 'Ornate Axe 02'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Color map: axe head and blade mass are charcoal; head socket is charcoal; upper handle is charcoal; lower handle and wraps are charcoal; pommel/end cap is charcoal. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
"Ornate Great Axe","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Ornate Great Axe.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Ornate Great Axe.png","StraightSword","Weapon","axe","Color map: pommel/end cap is charcoal; lower handle and wraps are brown; upper handle is charcoal; head socket is charcoal; axe head and blade mass are charcoal.","Create a single game inventory icon PNG of 'Ornate Great Axe'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Color map: pommel/end cap is charcoal; lower handle and wraps are brown; upper handle is charcoal; head socket is charcoal; axe head and blade mass are charcoal. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
"Ornate Long Pike","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Ornate Long Pike.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Ornate Long Pike.png","Spear","Weapon","polearm","Color map: head or tip mass is charcoal; socket or head base is charcoal; middle shaft is charcoal; lower shaft or wraps are charcoal; end cap or tail is charcoal.","Create a single game inventory icon PNG of 'Ornate Long Pike'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Color map: head or tip mass is charcoal; socket or head base is charcoal; middle shaft is charcoal; lower shaft or wraps are charcoal; end cap or tail is charcoal. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
"Ornate Pike","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Ornate Pike.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Ornate Pike.png","Spear","Weapon","polearm","Color map: head or tip mass is charcoal; socket or head base is charcoal; middle shaft is charcoal; lower shaft or wraps are charcoal; end cap or tail is charcoal.","Create a single game inventory icon PNG of 'Ornate Pike'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Color map: head or tip mass is charcoal; socket or head base is charcoal; middle shaft is charcoal; lower shaft or wraps are charcoal; end cap or tail is charcoal. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
"Ornate Shield 01","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Ornate Shield 01.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Ornate Shield 01.png","MediumShield","Shield","shield","Color map: outer edge and one side of the face read as charcoal and charcoal; major face zones read as charcoal and charcoal; center mass or emblem area reads as charcoal.","Create a single game inventory icon PNG of 'Ornate Shield 01'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Color map: outer edge and one side of the face read as charcoal and charcoal; major face zones read as charcoal and charcoal; center mass or emblem area reads as charcoal. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
"Ornate Shield 02","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Ornate Shield 02.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Ornate Shield 02.png","MediumShield","Shield","shield","Color map: outer edge and one side of the face read as charcoal and charcoal; major face zones read as charcoal and charcoal; center mass or emblem area reads as charcoal.","Create a single game inventory icon PNG of 'Ornate Shield 02'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Color map: outer edge and one side of the face read as charcoal and charcoal; major face zones read as charcoal and charcoal; center mass or emblem area reads as charcoal. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
"Ornate Spear","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Ornate Spear.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Ornate Spear.png","Spear","Weapon","polearm","Color map: end cap or tail is charcoal; lower shaft or wraps are charcoal; middle shaft is charcoal; socket or head base is charcoal; head or tip mass is charcoal.","Create a single game inventory icon PNG of 'Ornate Spear'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Color map: end cap or tail is charcoal; lower shaft or wraps are charcoal; middle shaft is charcoal; socket or head base is charcoal; head or tip mass is charcoal. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
"Ornate Sword 01","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Ornate Sword 01.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Ornate Sword 01.png","StraightSword","Weapon","sword","Color map: blade and tip are charcoal; lower blade is charcoal; guard and center block are charcoal; grip and wrapping are charcoal; pommel/end cap is charcoal.","Create a single game inventory icon PNG of 'Ornate Sword 01'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Color map: blade and tip are charcoal; lower blade is charcoal; guard and center block are charcoal; grip and wrapping are charcoal; pommel/end cap is charcoal. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
"Ornate Sword 02","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Ornate Sword 02.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Ornate Sword 02.png","StraightSword","Weapon","sword","Color map: blade and tip are charcoal; lower blade is charcoal; guard and center block are charcoal; grip and wrapping are brown; pommel/end cap is charcoal.","Create a single game inventory icon PNG of 'Ornate Sword 02'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Color map: blade and tip are charcoal; lower blade is charcoal; guard and center block are charcoal; grip and wrapping are brown; pommel/end cap is charcoal. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
"Plank Shield","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Plank Shield.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Plank Shield.png","LightShield","Shield","shield","Color map: outer edge and one side of the face read as charcoal and charcoal; major face zones read as charcoal and charcoal; center mass or emblem area reads as charcoal.","Create a single game inventory icon PNG of 'Plank Shield'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Color map: outer edge and one side of the face read as charcoal and charcoal; major face zones read as charcoal and charcoal; center mass or emblem area reads as charcoal. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
"Round Greatsword","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Round Greatsword.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Round Greatsword.png","StraightSword","Weapon","greatsword","Color map: blade tip is charcoal; main blade body is charcoal; guard is charcoal; grip is charcoal; pommel/end cap is charcoal.","Create a single game inventory icon PNG of 'Round Greatsword'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Color map: blade tip is charcoal; main blade body is charcoal; guard is charcoal; grip is charcoal; pommel/end cap is charcoal. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
"Round Shield","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Round Shield.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Round Shield.png","MediumShield","Shield","shield","Color map: outer edge and one side of the face read as charcoal and charcoal; major face zones read as charcoal and charcoal; center mass or emblem area reads as charcoal.","Create a single game inventory icon PNG of 'Round Shield'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Color map: outer edge and one side of the face read as charcoal and charcoal; major face zones read as charcoal and charcoal; center mass or emblem area reads as charcoal. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
"Runed Axe","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Runed Axe.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Runed Axe.png","StraightSword","Weapon","axe","Color map: pommel/end cap is charcoal; lower handle and wraps are charcoal; upper handle is charcoal; head socket is charcoal; axe head and blade mass are charcoal.","Create a single game inventory icon PNG of 'Runed Axe'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Color map: pommel/end cap is charcoal; lower handle and wraps are charcoal; upper handle is charcoal; head socket is charcoal; axe head and blade mass are charcoal. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
"Skull Shield","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Skull Shield.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Skull Shield.png","LightShield","Shield","shield","Color map: outer edge and one side of the face read as charcoal and charcoal; major face zones read as charcoal and charcoal; center mass or emblem area reads as charcoal.","Create a single game inventory icon PNG of 'Skull Shield'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Color map: outer edge and one side of the face read as charcoal and charcoal; major face zones read as charcoal and charcoal; center mass or emblem area reads as charcoal. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
"Spear 02","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Spear 02.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Spear 02.png","Spear","Weapon","polearm","Color map: end cap or tail is charcoal; lower shaft or wraps are charcoal; middle shaft is charcoal; socket or head base is charcoal; head or tip mass is charcoal.","Create a single game inventory icon PNG of 'Spear 02'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Color map: end cap or tail is charcoal; lower shaft or wraps are charcoal; middle shaft is charcoal; socket or head base is charcoal; head or tip mass is charcoal. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
"Spear","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Spear.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Spear.png","Spear","Weapon","polearm","Color map: end cap or tail is charcoal; lower shaft or wraps are charcoal; middle shaft is charcoal; socket or head base is charcoal; head or tip mass is charcoal.","Create a single game inventory icon PNG of 'Spear'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Color map: end cap or tail is charcoal; lower shaft or wraps are charcoal; middle shaft is charcoal; socket or head base is charcoal; head or tip mass is charcoal. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
"Sphere Mace","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Sphere Mace.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Sphere Mace.png","StraightSword","Weapon","blunt","Color map: striking head and large masses are charcoal; neck or upper shaft is charcoal; shaft core is charcoal; lower shaft or wraps are charcoal; pommel/end cap is charcoal.","Create a single game inventory icon PNG of 'Sphere Mace'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Color map: striking head and large masses are charcoal; neck or upper shaft is charcoal; shaft core is charcoal; lower shaft or wraps are charcoal; pommel/end cap is charcoal. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
"Spiked Goblin Axe","Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Spiked Goblin Axe.asset","Assets/Game/Docs/WeaponPreviewExports/Previews/Spiked Goblin Axe.png","StraightSword","Weapon","polearm","Color map: head or tip mass is charcoal; socket or head base is charcoal; middle shaft is charcoal; lower shaft or wraps are charcoal; end cap or tail is charcoal.","Create a single game inventory icon PNG of 'Spiked Goblin Axe'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Color map: head or tip mass is charcoal; socket or head base is charcoal; middle shaft is charcoal; lower shaft or wraps are charcoal; end cap or tail is charcoal. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
