displayName	assetPath	previewPath	prefabName	category	colorNotes	materialSummary	prompt
Hammer	Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Hammer.asset	Assets/Game/Docs/WeaponPreviewExports/Previews/Hammer.png	Weapon_Dungeon_Hammer_Small_01	Blunt	"Overall palette reads as palette of dark gold, brown, red. Keep these same flat color families in the same visible places as the prefab reference."	"head: palette of dark gold, brown, red"	"Create a single game inventory icon PNG of 'Hammer'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Overall palette reads as palette of dark gold, brown, red. Keep these same flat color families in the same visible places as the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
Hand Axe	Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Hand Axe.asset	Assets/Game/Docs/WeaponPreviewExports/Previews/Hand Axe.png	Weapon_Dungeon_HandAxe_01	Axe	"Overall palette reads as palette of brown, dark gold, red. Keep these same flat color families in the same visible places as the prefab reference."	"head: palette of brown, dark gold, red"	"Create a single game inventory icon PNG of 'Hand Axe'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Overall palette reads as palette of brown, dark gold, red. Keep these same flat color families in the same visible places as the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
Heater Shield 01	Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Heater Shield 01.asset	Assets/Game/Docs/WeaponPreviewExports/Previews/Heater Shield 01.png	Weapon_Dungeon_Shield_Heater_01	Shield	"Overall palette reads as palette of brown, red, dark gold. Keep these same flat color families in the same visible places as the prefab reference."	"shield face: palette of brown, red, dark gold"	"Create a single game inventory icon PNG of 'Heater Shield 01'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Overall palette reads as palette of brown, red, dark gold. Keep these same flat color families in the same visible places as the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
Heater Shield 02	Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Heater Shield 02.asset	Assets/Game/Docs/WeaponPreviewExports/Previews/Heater Shield 02.png	Weapon_Dungeon_Shield_Heater_02	Shield	"Overall palette reads as palette of red, dark yellow, brown. Keep these same flat color families in the same visible places as the prefab reference."	"shield face: palette of red, dark yellow, brown"	"Create a single game inventory icon PNG of 'Heater Shield 02'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Overall palette reads as palette of red, dark yellow, brown. Keep these same flat color families in the same visible places as the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
Metal Glaive	Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Metal Glaive.asset	Assets/Game/Docs/WeaponPreviewExports/Previews/Metal Glaive.png	Weapon_Dungeon_Handle_Metal_01	Polearm	"Overall palette reads as palette of brown, dark gold. Keep these same flat color families in the same visible places as the prefab reference."	"shaft: palette of brown, dark gold"	"Create a single game inventory icon PNG of 'Metal Glaive'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Overall palette reads as palette of brown, dark gold. Keep these same flat color families in the same visible places as the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
Metal Great Hammer 02	Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Metal Great Hammer 02.asset	Assets/Game/Docs/WeaponPreviewExports/Previews/Metal Great Hammer 02.png	Weapon_Dungeon_Hammer_Large_Metal_010	Blunt	"Overall palette reads as palette of brown, dark gold, dark orange. Keep these same flat color families in the same visible places as the prefab reference."	"head: palette of brown, dark gold, dark orange"	"Create a single game inventory icon PNG of 'Metal Great Hammer 02'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Overall palette reads as palette of brown, dark gold, dark orange. Keep these same flat color families in the same visible places as the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
Metal Great Hammer	Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Metal Great Hammer.asset	Assets/Game/Docs/WeaponPreviewExports/Previews/Metal Great Hammer.png	Weapon_Dungeon_Hammer_Large_Metal_01	Blunt	"Overall palette reads as palette of brown, dark gold, dark orange. Keep these same flat color families in the same visible places as the prefab reference."	"head: palette of brown, dark gold, dark orange"	"Create a single game inventory icon PNG of 'Metal Great Hammer'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Overall palette reads as palette of brown, dark gold, dark orange. Keep these same flat color families in the same visible places as the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
Ornate Axe 01	Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Ornate Axe 01.asset	Assets/Game/Docs/WeaponPreviewExports/Previews/Ornate Axe 01.png	Weapon_Dungeon_Ornate_Axe_01	Axe	"Overall palette reads as palette of brown, red, dark gold. Keep these same flat color families in the same visible places as the prefab reference."	"head: palette of brown, red, dark gold"	"Create a single game inventory icon PNG of 'Ornate Axe 01'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Overall palette reads as palette of brown, red, dark gold. Keep these same flat color families in the same visible places as the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
Ornate Axe 02	Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Ornate Axe 02.asset	Assets/Game/Docs/WeaponPreviewExports/Previews/Ornate Axe 02.png	Weapon_Dungeon_Ornate_Axe_02	Axe	"Overall palette reads as palette of brown, red, dark gold. Keep these same flat color families in the same visible places as the prefab reference."	"head: palette of brown, red, dark gold"	"Create a single game inventory icon PNG of 'Ornate Axe 02'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Overall palette reads as palette of brown, red, dark gold. Keep these same flat color families in the same visible places as the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
Ornate Great Axe	Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Ornate Great Axe.asset	Assets/Game/Docs/WeaponPreviewExports/Previews/Ornate Great Axe.png	Weapon_Dungeon_Ornate_GreatAxe_01	Axe	"Overall palette reads as palette of brown, dark gold, dark orange. Keep these same flat color families in the same visible places as the prefab reference."	"head: palette of brown, dark gold, dark orange"	"Create a single game inventory icon PNG of 'Ornate Great Axe'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Overall palette reads as palette of brown, dark gold, dark orange. Keep these same flat color families in the same visible places as the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
Ornate Long Pike	Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Ornate Long Pike.asset	Assets/Game/Docs/WeaponPreviewExports/Previews/Ornate Long Pike.png	Weapon_Dungeon_Ornate_Spikes_Long_01	Polearm	"Overall palette reads as palette of brown, dark gold, red. Keep these same flat color families in the same visible places as the prefab reference."	"shaft: palette of brown, dark gold, red"	"Create a single game inventory icon PNG of 'Ornate Long Pike'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Overall palette reads as palette of brown, dark gold, red. Keep these same flat color families in the same visible places as the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
Ornate Pike	Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Ornate Pike.asset	Assets/Game/Docs/WeaponPreviewExports/Previews/Ornate Pike.png	Weapon_Dungeon_Ornate_Spikes_01	Polearm	"Overall palette reads as palette of brown, dark gold, red. Keep these same flat color families in the same visible places as the prefab reference."	"shaft: palette of brown, dark gold, red"	"Create a single game inventory icon PNG of 'Ornate Pike'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Overall palette reads as palette of brown, dark gold, red. Keep these same flat color families in the same visible places as the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
Ornate Shield 01	Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Ornate Shield 01.asset	Assets/Game/Docs/WeaponPreviewExports/Previews/Ornate Shield 01.png	Weapon_Dungeon_Shield_Ornate_01	Shield	"Overall palette reads as palette of brown, red, dark gold. Keep these same flat color families in the same visible places as the prefab reference."	"shield face: palette of brown, red, dark gold"	"Create a single game inventory icon PNG of 'Ornate Shield 01'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Overall palette reads as palette of brown, red, dark gold. Keep these same flat color families in the same visible places as the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
Ornate Shield 02	Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Ornate Shield 02.asset	Assets/Game/Docs/WeaponPreviewExports/Previews/Ornate Shield 02.png	Weapon_Dungeon_Shield_Ornate_02	Shield	"Overall palette reads as palette of brown, red, dark gold. Keep these same flat color families in the same visible places as the prefab reference."	"shield face: palette of brown, red, dark gold"	"Create a single game inventory icon PNG of 'Ornate Shield 02'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Overall palette reads as palette of brown, red, dark gold. Keep these same flat color families in the same visible places as the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
Ornate Spear	Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Ornate Spear.asset	Assets/Game/Docs/WeaponPreviewExports/Previews/Ornate Spear.png	Weapon_Dungeon_Ornate_Spear_01	Polearm	"Overall palette reads as palette of dark gold, brown, dark cyan. Keep these same flat color families in the same visible places as the prefab reference."	"shaft: palette of dark gold, brown, dark cyan"	"Create a single game inventory icon PNG of 'Ornate Spear'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Overall palette reads as palette of dark gold, brown, dark cyan. Keep these same flat color families in the same visible places as the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
Ornate Sword 01	Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Ornate Sword 01.asset	Assets/Game/Docs/WeaponPreviewExports/Previews/Ornate Sword 01.png	Weapon_Dungeon_Ornate_Sword_01	Sword	"Overall palette reads as palette of brown, dark cyan, dark gold. Keep these same flat color families in the same visible places as the prefab reference."	"blade: palette of brown, dark cyan, dark gold"	"Create a single game inventory icon PNG of 'Ornate Sword 01'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Overall palette reads as palette of brown, dark cyan, dark gold. Keep these same flat color families in the same visible places as the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
Ornate Sword 02	Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Ornate Sword 02.asset	Assets/Game/Docs/WeaponPreviewExports/Previews/Ornate Sword 02.png	Weapon_Dungeon_Ornate_Sword_02	Sword	"Overall palette reads as palette of brown, red, dark gold. Keep these same flat color families in the same visible places as the prefab reference."	"blade: palette of brown, red, dark gold"	"Create a single game inventory icon PNG of 'Ornate Sword 02'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Overall palette reads as palette of brown, red, dark gold. Keep these same flat color families in the same visible places as the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
Plank Shield	Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Plank Shield.asset	Assets/Game/Docs/WeaponPreviewExports/Previews/Plank Shield.png	Weapon_Dungeon_Shield_Plank_01	Shield	"Overall palette reads as palette of dark orange, brown, dark gold. Keep these same flat color families in the same visible places as the prefab reference."	"shield face: palette of dark orange, brown, dark gold"	"Create a single game inventory icon PNG of 'Plank Shield'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Overall palette reads as palette of dark orange, brown, dark gold. Keep these same flat color families in the same visible places as the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
Round Greatsword	Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Round Greatsword.asset	Assets/Game/Docs/WeaponPreviewExports/Previews/Round Greatsword.png	Weapon_Dungeon_Greatsword_Round_01	Greatsword	"Overall palette reads as palette of brown, red, dark gold. Keep these same flat color families in the same visible places as the prefab reference."	"blade: palette of brown, red, dark gold"	"Create a single game inventory icon PNG of 'Round Greatsword'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Overall palette reads as palette of brown, red, dark gold. Keep these same flat color families in the same visible places as the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
Round Shield	Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Round Shield.asset	Assets/Game/Docs/WeaponPreviewExports/Previews/Round Shield.png	Weapon_Dungeon_Shield_Round_01	Shield	"Overall palette reads as palette of brown, red, dark orange. Keep these same flat color families in the same visible places as the prefab reference."	"shield face: palette of brown, red, dark orange"	"Create a single game inventory icon PNG of 'Round Shield'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Overall palette reads as palette of brown, red, dark orange. Keep these same flat color families in the same visible places as the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
Runed Axe	Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Runed Axe.asset	Assets/Game/Docs/WeaponPreviewExports/Previews/Runed Axe.png	Weapon_Dungeon_Axe_Rune_01	Axe	"Overall palette reads as palette of dark gold, brown, red. Keep these same flat color families in the same visible places as the prefab reference."	"head: palette of dark gold, brown, red"	"Create a single game inventory icon PNG of 'Runed Axe'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Overall palette reads as palette of dark gold, brown, red. Keep these same flat color families in the same visible places as the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
Skull Shield	Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Skull Shield.asset	Assets/Game/Docs/WeaponPreviewExports/Previews/Skull Shield.png	Weapon_Dungeon_Shield_Skull_01	Shield	"Overall palette reads as palette of brown, dark orange, red. Keep these same flat color families in the same visible places as the prefab reference."	"shield face: palette of brown, dark orange, red"	"Create a single game inventory icon PNG of 'Skull Shield'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Overall palette reads as palette of brown, dark orange, red. Keep these same flat color families in the same visible places as the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
Spear 02	Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Spear 02.asset	Assets/Game/Docs/WeaponPreviewExports/Previews/Spear 02.png	Weapon_Dungeon_Spear_02	Polearm	"Overall palette reads as palette of brown, dark gold, dark orange. Keep these same flat color families in the same visible places as the prefab reference."	"shaft: palette of brown, dark gold, dark orange"	"Create a single game inventory icon PNG of 'Spear 02'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Overall palette reads as palette of brown, dark gold, dark orange. Keep these same flat color families in the same visible places as the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
Spear	Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Spear.asset	Assets/Game/Docs/WeaponPreviewExports/Previews/Spear.png	Weapon_Dungeon_Spear_01	Polearm	"Overall palette reads as palette of brown, dark yellow, dark orange. Keep these same flat color families in the same visible places as the prefab reference."	"shaft: palette of brown, dark yellow, dark orange"	"Create a single game inventory icon PNG of 'Spear'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Overall palette reads as palette of brown, dark yellow, dark orange. Keep these same flat color families in the same visible places as the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
Sphere Mace	Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Sphere Mace.asset	Assets/Game/Docs/WeaponPreviewExports/Previews/Sphere Mace.png	Weapon_Dungeon_Hammer_Mace_Sphere_01	Blunt	"Overall palette reads as palette of dark gold, brown, dark yellow. Keep these same flat color families in the same visible places as the prefab reference."	"head: palette of dark gold, brown, dark yellow"	"Create a single game inventory icon PNG of 'Sphere Mace'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Overall palette reads as palette of dark gold, brown, dark yellow. Keep these same flat color families in the same visible places as the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
Spiked Goblin Axe	Assets/Game/Data/Items/Weapons/Melee Weapons/Polygon Dungeon Generated/Spiked Goblin Axe.asset	Assets/Game/Docs/WeaponPreviewExports/Previews/Spiked Goblin Axe.png	Weapon_Dungeon_Goblin_Axe_Spikes_01	Polearm	"Overall palette reads as palette of dark gold, dark orange, red. Keep these same flat color families in the same visible places as the prefab reference."	"shaft: palette of dark gold, dark orange, red"	"Create a single game inventory icon PNG of 'Spiked Goblin Axe'. Use the attached prefab preview as a strict reference. Recreate the exact same weapon shape and silhouette as closely as possible. Match the exact silhouette, proportions, wrapping placement, head size, handle length, guard shape, tip shape, and color placement from the prefab reference. Overall palette reads as palette of dark gold, dark orange, red. Keep these same flat color families in the same visible places as the prefab reference. Keep the weapon in an extremely simple low-poly style, with very few large planes, very little micro detail, minimal surface noise, and broad flat color areas only. One isolated weapon only, transparent background, no backdrop, no frame, no environment, no character, no hand, centered in the canvas, full object visible, diagonal layout like the sample icon. Do not redesign the weapon. Do not invent a new color palette. Do not add realism, painterly brushwork, glow, extra ornaments, text, or watermark."
